Champion,StartDate,EndDate,Duration,NumOfMatches,Category,Won,Lost,TotalDurationFrom,TotalDurationTo
tokyov,2000/07/05,2000/07/15 00:00:00,10,3,ＹＮＣ,cosaka,kashima,335,345
kashima,2000/07/15,2000/07/29 00:00:00,14,3,Ｊ１ ２ｎｄ,tokyov,cosaka,249,263
cosaka,2000/07/29,2000/08/12 00:00:00,14,2,Ｊ１ ２ｎｄ,kashima,tokyov,67,81
tokyov,2000/08/12,2000/08/19 00:00:00,7,1,Ｊ１ ２ｎｄ,cosaka,yokohamafm,345,352
yokohamafm,2000/08/19,2000/08/30 00:00:00,11,1,Ｊ１ ２ｎｄ,tokyov,kashima,150,161
kashima,2000/08/30,2001/03/03 00:00:00,185,12,ＹＮＣ,yokohamafm,shimizu,263,448
shimizu,2001/03/03,2001/03/10 00:00:00,7,1,ゼロックススーパーカップ,kashima,kashiwa,234,241
kashiwa,2001/03/10,2001/03/17 00:00:00,7,1,Ｊ１ １ｓｔ,shimizu,sapporo,277,284
sapporo,2001/03/17,2001/03/31 00:00:00,14,1,Ｊ１ １ｓｔ,kashiwa,hiroshima,26,40
hiroshima,2001/03/31,2001/04/07 00:00:00,7,2,Ｊ１ １ｓｔ,sapporo,kashiwa,56,63
kashiwa,2001/04/07,2001/04/14 00:00:00,7,1,Ｊ１ １ｓｔ,hiroshima,tokyov,284,291
tokyov,2001/04/14,2001/04/18 00:00:00,4,1,Ｊ１ １ｓｔ,kashiwa,yokohamafc,352,356
yokohamafc,2001/04/18,2001/05/06 00:00:00,18,4,ＹＮＣ,tokyov,niigata,0,18
niigata,2001/05/06,2001/05/19 00:00:00,13,2,Ｊ２,yokohamafc,kyoto,0,13
kyoto,2001/05/19,2001/05/26 00:00:00,7,2,Ｊ２,niigata,oita,46,53
oita,2001/05/26,2001/06/13 00:00:00,18,1,Ｊ２,kyoto,iwata,14,32
iwata,2001/06/13,2001/08/18 00:00:00,66,8,ＹＮＣ,oita,gosaka,341,407
gosaka,2001/08/18,2001/08/25 00:00:00,7,1,Ｊ１ ２ｎｄ,iwata,kashima,56,63
kashima,2001/08/25,2001/09/26 00:00:00,32,5,Ｊ１ ２ｎｄ,gosaka,iwata,448,480
iwata,2001/09/26,2001/10/31 00:00:00,35,7,ＹＮＣ,kashima,kashiwa,407,442
kashiwa,2001/10/31,2001/11/10 00:00:00,10,2,Ｊ１ ２ｎｄ,iwata,urawa,291,301
urawa,2001/11/10,2001/11/17 00:00:00,7,1,Ｊ１ ２ｎｄ,kashiwa,cosaka,38,45
cosaka,2001/11/17,2002/03/30 00:00:00,133,7,Ｊ１ ２ｎｄ,urawa,oita,81,214
oita,2002/03/30,2002/04/06 00:00:00,7,1,Ｊ２,cosaka,omiya,32,39
omiya,2002/04/06,2002/05/06 00:00:00,30,7,Ｊ２,oita,fukuoka,7,37
fukuoka,2002/05/06,2002/05/12 00:00:00,6,1,Ｊ２,omiya,shonan,18,24
shonan,2002/05/12,2002/08/03 00:00:00,83,7,Ｊ２,fukuoka,cosaka,30,113
cosaka,2002/08/03,2002/09/25 00:00:00,53,11,Ｊ２,shonan,shonan,214,267
shonan,2002/09/25,2002/10/09 00:00:00,14,3,Ｊ２,cosaka,oita,113,127
oita,2002/10/09,2002/11/16 00:00:00,38,7,Ｊ２,shonan,mito,39,77
mito,2002/11/16,2002/11/24 00:00:00,8,1,Ｊ２,oita,niigata,0,8
niigata,2002/11/24,2003/03/29 00:00:00,125,3,Ｊ２,mito,yokohamafc,13,138
yokohamafc,2003/03/29,2003/04/09 00:00:00,11,2,Ｊ２,niigata,fukuoka,18,29
fukuoka,2003/04/09,2003/04/12 00:00:00,3,1,Ｊ２,yokohamafc,sapporo,24,27
sapporo,2003/04/12,2003/04/19 00:00:00,7,1,Ｊ２,fukuoka,kofu,40,47
kofu,2003/04/19,2003/04/29 00:00:00,10,2,Ｊ２,sapporo,hiroshima,0,10
hiroshima,2003/04/29,2003/05/14 00:00:00,15,3,Ｊ２,kofu,kawasakif,63,78
kawasakif,2003/05/14,2003/06/18 00:00:00,35,6,Ｊ２,hiroshima,niigata,4,39
niigata,2003/06/18,2003/08/30 00:00:00,73,12,Ｊ２,kawasakif,kofu,138,211
kofu,2003/08/30,2003/09/06 00:00:00,7,2,Ｊ２,niigata,hiroshima,10,17
hiroshima,2003/09/06,2003/10/18 00:00:00,42,7,Ｊ２,kofu,fukuoka,78,120
fukuoka,2003/10/18,2003/11/08 00:00:00,21,3,Ｊ２,hiroshima,kawasakif,27,48
kawasakif,2003/11/08,2004/04/03 00:00:00,147,6,Ｊ２,fukuoka,sendai,39,186
sendai,2004/04/03,2004/04/11 00:00:00,8,1,Ｊ２,kawasakif,tosu,0,8
tosu,2004/04/11,2004/04/18 00:00:00,7,1,Ｊ２,sendai,yamagata,3,10
yamagata,2004/04/18,2004/05/15 00:00:00,27,6,Ｊ２,tosu,tosu,0,27
tosu,2004/05/15,2004/05/19 00:00:00,4,1,Ｊ２,yamagata,shonan,10,14
shonan,2004/05/19,2004/05/22 00:00:00,3,1,Ｊ２,tosu,kawasakif,127,130
kawasakif,2004/05/22,2004/06/19 00:00:00,28,4,Ｊ２,shonan,tosu,186,214
tosu,2004/06/19,2004/06/23 00:00:00,4,1,Ｊ２,kawasakif,kyoto,14,18
kyoto,2004/06/23,2004/06/26 00:00:00,3,1,Ｊ２,tosu,kofu,53,56
kofu,2004/06/26,2004/07/27 00:00:00,31,4,Ｊ２,kyoto,sendai,17,48
sendai,2004/07/27,2004/08/21 00:00:00,25,5,Ｊ２,kofu,fukuoka,8,33
fukuoka,2004/08/21,2004/08/29 00:00:00,8,2,Ｊ２,sendai,yamagata,48,56
yamagata,2004/08/29,2004/10/16 00:00:00,48,7,Ｊ２,fukuoka,omiya,27,75
omiya,2004/10/16,2005/03/26 00:00:00,161,10,Ｊ２,yamagata,urawa,37,198
urawa,2005/03/26,2005/04/02 00:00:00,7,1,ＹＮＣ 予選Ａグループ,omiya,oita,45,52
oita,2005/04/02,2005/04/09 00:00:00,7,1,Ｊ１,urawa,chiba,77,84
chiba,2005/04/09,2005/04/16 00:00:00,7,2,Ｊ１,oita,kashima,141,148
kashima,2005/04/16,2005/05/01 00:00:00,15,3,Ｊ１,chiba,cosaka,480,495
cosaka,2005/05/01,2005/05/14 00:00:00,13,3,Ｊ１,kashima,gosaka,267,280
gosaka,2005/05/14,2005/06/04 00:00:00,21,3,Ｊ１,cosaka,hiroshima,63,84
hiroshima,2005/06/04,2005/06/11 00:00:00,7,1,ＹＮＣ 予選Ｂグループ,gosaka,kawasakif,120,127
kawasakif,2005/06/11,2005/07/09 00:00:00,28,3,ＹＮＣ 予選Ｂグループ,hiroshima,kashima,214,242
kashima,2005/07/09,2005/07/13 00:00:00,4,1,Ｊ１,kawasakif,nagoya,495,499
nagoya,2005/07/13,2005/07/17 00:00:00,4,1,Ｊ１,kashima,niigata,124,128
